publish_time,now_rank,fanghao,share,danmaku,aid,coin,his_rank,tminfo,title,url,favorite,reply,view
2016-09-05 18:29,0,nil,1072,11449,6169315,9777,6,生活,papi酱的周一放送——出国玩，不要让任何人知道,http://www.bilibili.com/video/av6169315,4260,4818,903404
2016-09-09 01:40,0,nil,202,4561,6206700,3346,35,游戏,【逗鱼时刻】第85期 爱拼才会赢,http://www.bilibili.com/video/av6206700,978,1667,898748
2016-09-14 18:02,0,nil,1208,9365,6274696,8259,0,生活,papi酱不定期更新的日常——五仁月饼挺好吃啊！,http://www.bilibili.com/video/av6274696,4114,4520,895586
2016-09-11 15:52,0,nil,1365,3618,6239768,1069,0,番剧,【生肉】『你的名字。』特番160910,http://www.bilibili.com/video/av6239768,22996,2117,881332
2016-09-12 18:00,0,nil,1987,4563,6253025,15698,4,生活,papi酱的周一放送——请把你的高标准严要求，留给你自己,http://www.bilibili.com/video/av6253025,6799,3926,880771
2016-09-11 11:32,1,nil,25318,110791,6235951,109677,100,音乐,【魔道祖师】同道殊途【豪华人声版】,http://www.bilibili.com/video/av6235951,95378,17429,875568
2016-09-23 21:54,0,nil,859,8245,6388107,10110,54,游戏,徐老师来巡山83：大龙神秘被抢 凶手竟然是？！,http://www.bilibili.com/video/av6388107,3135,1712,874995
2016-09-14 18:25,0,6274576,218,18479,6274576,1425,0,番剧,双星之阴阳师 : 第23集 双星 西行,http://www.bilibili.com/video/av6274576,272,1864,895438
2016-09-02 01:40,0,nil,918,6084,6120437,5586,35,游戏,【逗鱼时刻】第84期 静静的看着你们装逼,http://www.bilibili.com/video/av6120437,1366,1054,865098
2016-09-20 17:03,0,nil,1188,8255,6352870,7128,10,电影,【LexBurner】辣眼睛的《大话西游3》，永远不要低估国产烂片烂的程度,http://www.bilibili.com/video/av6352870,3177,4906,861750
2016-09-30 10:47,0,nil,2502,15323,6466388,16517,75,游戏,【老E】智障斗殴模拟器,http://www.bilibili.com/video/av6466388,7953,2887,860853
2016-09-20 14:32,1,nil,952,10342,6351501,13368,94,动画,【2.5次元 Vol.1】扒一扒那些打破次元壁的各种方式！,http://www.bilibili.com/video/av6351501,32181,2001,854595
