danmaku,now_rank,aid,url,reply,share,coin,favorite,his_rank,view
1297,0,6244301,http://www.bilibili.com/video/av6244301,867,1011,2138,5401,72,566762
16371,0,6282784,http://www.bilibili.com/video/av6282784,1968,2931,50261,30655,62,564689
2672,0,6290476,http://www.bilibili.com/video/av6290476,1187,723,5858,16228,52,563156
3955,0,6171858,http://www.bilibili.com/video/av6171858,2644,1226,3318,13650,20,562790
7992,0,6463093,http://www.bilibili.com/video/av6463093,1740,199,5403,889,53,559401
6152,0,6427282,http://www.bilibili.com/video/av6427282,3733,2547,5918,4327,16,556848
2573,0,6473722,http://www.bilibili.com/video/av6473722,921,1744,3277,3567,45,555262
15508,0,6226965,http://www.bilibili.com/video/av6226965,2894,281,1843,397,0,555090
7875,0,6474924,http://www.bilibili.com/video/av6474924,1104,772,3185,2400,0,550839
9301,0,6169410,http://www.bilibili.com/video/av6169410,3254,144,5069,1805,3,546293
2583,0,6427630,http://www.bilibili.com/video/av6427630,1535,1073,2919,8808,66,545736
2700,0,6265502,http://www.bilibili.com/video/av6265502,569,141,1176,1078,43,544024
3284,0,6465893,http://www.bilibili.com/video/av6465893,2974,5292,16510,18191,90,542102
2062,0,6176215,http://www.bilibili.com/video/av6176215,916,2620,9596,14363,25,538631
10364,0,6264948,http://www.bilibili.com/video/av6264948,3479,967,8091,2825,83,536005
10904,0,6335248,http://www.bilibili.com/video/av6335248,2333,176,1342,246,0,535862
9368,0,6454449,http://www.bilibili.com/video/av6454449,8647,10666,6377,27113,89,535273
30319,0,6238942,http://www.bilibili.com/video/av6238942,1572,1316,1211,22502,0,534062
2139,0,6345040,http://www.bilibili.com/video/av6345040,503,152,1151,1114,30,531615
2404,0,6150055,http://www.bilibili.com/video/av6150055,1330,3619,19671,24346,51,529117
7473,0,6452982,http://www.bilibili.com/video/av6452982,2848,3003,15818,29337,25,526034
2244,0,6451219,http://www.bilibili.com/video/av6451219,1176,722,9326,25727,34,523814
2256,0,6334807,http://www.bilibili.com/video/av6334807,5409,1684,1468,7199,0,523656
2951,0,6277360,http://www.bilibili.com/video/av6277360,1593,349,2061,1218,60,523001
35665,0,6393106,http://www.bilibili.com/video/av6393106,4614,744,21216,5464,47,522623
15124,0,6269429,http://www.bilibili.com/video/av6269429,495,713,237,6025,0,521328
3569,0,6131913,http://www.bilibili.com/video/av6131913,1254,244,876,1027,57,521038
5017,0,6126988,http://www.bilibili.com/video/av6126988,1649,697,3062,2452,62,519669
18457,0,6283649,http://www.bilibili.com/video/av6283649,3053,8308,90374,50728,89,519488
7884,0,6289877,http://www.bilibili.com/video/av6289877,2499,506,4954,1128,57,518207
7466,0,6282210,http://www.bilibili.com/video/av6282210,4724,1256,9918,12134,28,515661
3896,0,6443264,http://www.bilibili.com/video/av6443264,1179,1475,18304,14336,98,512402
4112,0,6395096,http://www.bilibili.com/video/av6395096,2280,2741,3938,3295,0,511780
15875,0,6417040,http://www.bilibili.com/video/av6417040,3397,263,1631,291,0,508885
5725,0,6404184,http://www.bilibili.com/video/av6404184,863,190,1903,1098,17,508684
6229,0,6218231,http://www.bilibili.com/video/av6218231,798,583,2448,1707,0,505599
6099,0,6384541,http://www.bilibili.com/video/av6384541,1739,2673,3456,3622,0,504263
5068,0,6368844,http://www.bilibili.com/video/av6368844,1401,751,4571,2342,38,502603
3465,0,6444269,http://www.bilibili.com/video/av6444269,1593,626,1987,2012,44,502377
2307,0,6425398,http://www.bilibili.com/video/av6425398,621,135,2348,654,97,500008
7398,0,6130873,http://www.bilibili.com/video/av6130873,1901,358,2186,1096,64,496568
6259,0,6251385,http://www.bilibili.com/video/av6251385,2708,922,13300,2575,91,494426
50412,0,6240427,http://www.bilibili.com/video/av6240427,3089,4289,3683,27716,0,494386
4019,0,6289477,http://www.bilibili.com/video/av6289477,3664,1143,16449,16060,63,494259
5424,1,6327472,http://www.bilibili.com/video/av6327472,2979,390,1492,13120,86,493735
4708,0,6296047,http://www.bilibili.com/video/av6296047,2054,813,5465,2850,55,489518
1652,0,6384883,http://www.bilibili.com/video/av6384883,1054,2016,7777,15876,24,489341
3417,0,6207368,http://www.bilibili.com/video/av6207368,1327,205,2669,1715,0,484676
2997,0,6214886,http://www.bilibili.com/video/av6214886,1166,2396,22471,20957,41,483460
2833,0,6136321,http://www.bilibili.com/video/av6136321,883,3167,8479,17892,55,482552
7531,1,6287758,http://www.bilibili.com/video/av6287758,2972,3201,3263,17302,0,479219
21497,0,6236685,http://www.bilibili.com/video/av6236685,2805,503,4631,7172,81,476915
2410,0,6167608,http://www.bilibili.com/video/av6167608,1304,2253,26204,10152,50,476836
2132,0,6394224,http://www.bilibili.com/video/av6394224,1291,322,1702,2126,61,476656
3635,0,6349209,http://www.bilibili.com/video/av6349209,842,3753,12295,24075,70,475984
11425,0,6110524,http://www.bilibili.com/video/av6110524,1054,66,1170,233,0,474479
2030,0,6257405,http://www.bilibili.com/video/av6257405,426,164,891,715,61,473664
4117,0,6393452,http://www.bilibili.com/video/av6393452,684,4398,7291,14358,74,471984
30146,0,6471993,http://www.bilibili.com/video/av6471993,9138,1973,4959,709,0,469076
1812,0,6168145,http://www.bilibili.com/video/av6168145,657,83,1822,505,94,469014
40376,0,6297024,http://www.bilibili.com/video/av6297024,5614,3433,14673,15681,28,468950
20470,0,6328996,http://www.bilibili.com/video/av6328996,413,1113,940,11874,0,468578
3712,0,6466542,http://www.bilibili.com/video/av6466542,2011,359,1065,2687,69,467142
1910,0,6358121,http://www.bilibili.com/video/av6358121,512,96,867,787,28,464554
11273,0,6321381,http://www.bilibili.com/video/av6321381,3469,236,1351,239,0,464129
2629,0,6171651,http://www.bilibili.com/video/av6171651,559,115,1136,998,42,462583
26692,0,6129893,http://www.bilibili.com/video/av6129893,2540,1007,5714,24656,12,459854
3980,0,6218953,http://www.bilibili.com/video/av6218953,1803,2422,6043,38774,74,458457
1452,0,6457158,http://www.bilibili.com/video/av6457158,1502,1130,691,7650,4,458182
5189,0,6265072,http://www.bilibili.com/video/av6265072,1760,187,253,4907,60,457389
39599,0,6136317,http://www.bilibili.com/video/av6136317,11172,256,11801,7207,91,455471
3120,0,6462638,http://www.bilibili.com/video/av6462638,1011,4226,7363,11683,52,454679
2077,0,6173456,http://www.bilibili.com/video/av6173456,613,419,922,1044,49,452069
2401,0,6367205,http://www.bilibili.com/video/av6367205,1394,347,1251,1393,82,451178
10310,0,6205823,http://www.bilibili.com/video/av6205823,2584,2208,25327,13455,24,450206
2039,0,6429326,http://www.bilibili.com/video/av6429326,623,157,917,709,47,449950
1044,0,6260812,http://www.bilibili.com/video/av6260812,1653,1294,1429,12634,4,449693
9847,0,6215543,http://www.bilibili.com/video/av6215543,2999,393,1868,1634,0,448525
5537,0,6143476,http://www.bilibili.com/video/av6143476,2344,352,3979,2726,73,447032
3142,0,6453113,http://www.bilibili.com/video/av6453113,1612,347,1292,1272,54,444873
9006,0,6198452,http://www.bilibili.com/video/av6198452,880,66,940,216,0,444582
8371,0,6380200,http://www.bilibili.com/video/av6380200,2014,3683,13834,25123,72,444116
3561,0,6396717,http://www.bilibili.com/video/av6396717,1948,3426,22607,20576,50,442901
16016,0,6279767,http://www.bilibili.com/video/av6279767,984,65,1029,217,0,439677
5881,0,6203511,http://www.bilibili.com/video/av6203511,1282,107,4086,763,0,438321
9114,0,6129775,http://www.bilibili.com/video/av6129775,512,1979,2259,26392,51,437056
1204,0,6178792,http://www.bilibili.com/video/av6178792,2652,742,727,7190,54,436345
1238,0,6284348,http://www.bilibili.com/video/av6284348,919,100,1209,764,65,436303
48253,0,6197509,http://www.bilibili.com/video/av6197509,15161,10911,7524,21152,89,433898
1089,0,6424560,http://www.bilibili.com/video/av6424560,682,4478,2078,18844,88,433413
19541,0,6183474,http://www.bilibili.com/video/av6183474,1960,237,1963,365,0,432800
7135,0,6171160,http://www.bilibili.com/video/av6171160,703,83,487,208,0,432761
2281,0,6370817,http://www.bilibili.com/video/av6370817,4943,2030,10584,7426,53,432150
3311,0,6117259,http://www.bilibili.com/video/av6117259,773,3807,10323,15077,46,432141
1286,0,6236269,http://www.bilibili.com/video/av6236269,1052,277,1492,961,59,432007
1538,0,6438888,http://www.bilibili.com/video/av6438888,831,1810,7815,12070,20,431513
7660,0,6466881,http://www.bilibili.com/video/av6466881,597,141,881,411,0,430412
982,0,6203347,http://www.bilibili.com/video/av6203347,600,477,537,6124,64,429744
998,0,6386493,http://www.bilibili.com/video/av6386493,1039,2314,4659,10530,77,428976
2515,0,6255649,http://www.bilibili.com/video/av6255649,687,137,990,826,38,423241
2794,0,6303824,http://www.bilibili.com/video/av6303824,1378,3926,23376,20548,78,422937
4154,0,6259077,http://www.bilibili.com/video/av6259077,1005,404,358,3506,88,422688
27406,0,6271242,http://www.bilibili.com/video/av6271242,3324,2524,41598,8493,80,420754
2067,0,6449361,http://www.bilibili.com/video/av6449361,501,104,1039,697,97,419910
4023,0,6179878,http://www.bilibili.com/video/av6179878,1516,162,609,285,0,419676
7012,0,6374713,http://www.bilibili.com/video/av6374713,2023,74,2784,1521,0,419467
23096,0,6398089,http://www.bilibili.com/video/av6398089,8560,802,1965,370,0,419360
6480,0,6109574,http://www.bilibili.com/video/av6109574,659,82,608,222,0,419237
3893,0,6269233,http://www.bilibili.com/video/av6269233,1201,3094,17146,17304,19,418095
14865,0,6455930,http://www.bilibili.com/video/av6455930,1204,109,1142,256,0,417158
17214,0,6370890,http://www.bilibili.com/video/av6370890,1355,117,946,209,0,417015
2088,0,6262120,http://www.bilibili.com/video/av6262120,1980,1017,3281,11887,92,415885
1809,0,6406267,http://www.bilibili.com/video/av6406267,771,497,212,5669,73,414478
9971,0,6295224,http://www.bilibili.com/video/av6295224,2234,324,27297,3470,29,414449
7007,0,6209823,http://www.bilibili.com/video/av6209823,4201,1799,5538,2740,69,414125
6610,0,6422255,http://www.bilibili.com/video/av6422255,1436,251,1924,2267,42,414091
6126,0,6364165,http://www.bilibili.com/video/av6364165,4603,2583,19106,28672,42,412249
1078,0,6370627,http://www.bilibili.com/video/av6370627,609,147,1520,2222,70,411262
4136,0,6218450,http://www.bilibili.com/video/av6218450,1388,4249,5098,9521,57,410317
6621,0,6269747,http://www.bilibili.com/video/av6269747,603,85,1094,285,0,410255
1959,0,6195304,http://www.bilibili.com/video/av6195304,1404,95,866,716,84,409893
35444,0,6434067,http://www.bilibili.com/video/av6434067,6287,5711,9151,31153,95,409875
1582,0,6151972,http://www.bilibili.com/video/av6151972,1034,161,1665,931,11,409645
2770,0,6250603,http://www.bilibili.com/video/av6250603,376,2385,1551,13565,56,409217
2240,0,6192872,http://www.bilibili.com/video/av6192872,674,190,2039,1005,43,406919
13649,0,6128992,http://www.bilibili.com/video/av6128992,4128,445,2138,405,0,405949
40153,0,6393951,http://www.bilibili.com/video/av6393951,3926,759,4891,6101,0,405866
1870,0,6231242,http://www.bilibili.com/video/av6231242,1469,375,1115,924,39,405791
18501,0,6266905,http://www.bilibili.com/video/av6266905,2596,218,1814,293,0,405274
5400,0,6157330,http://www.bilibili.com/video/av6157330,1170,271,1055,1334,10,404231
